artist,song,genre,lyrics
Frank Ocean,Chanel,r&b,"My guy pretty like a girl, And he got fight stories to tell, I see both sides like Chanel, See on both sides like Chanel, Swimmin' laps through pool water, Heated like I'm underworld, Hide my tattoos in Shibuya, Police think I'm of the underworld, 12 treat a nigga like he twelve, How you lookin' up to me and talkin' down? (Yeah), Can't you see I am the big man? (Big man), God level, I am the I am (Woah), Now film it with that drone cam, in the pink like Killa Cam, Put a zoom on that stick, Noé, up so close I'm on that kill, Remote controller on your lower back, yes, the good, Dick could roll the eyes back in the skull, Rollin' when you ride, poppin', Rollin' when you ride, ride the RodmanGot one that's straight actin', Turnt out like some dirty plastic (Ride)2016: burnt some discs (Dope)2017: ideas playin' off a Walkman, This a cult, not a clique on the net, With a cup in a cup, Actavis, That's a double edge, ""issa knife"" (Knife), And I don't like to fight 'til I'm fightin' (Fightin'), Revenge in the air makes my lungs sick, Chopper in the sky like a gun trick (Pow), Clips on clips like Mikey (Hello), It's really all, I see both sides like Chanel, See on both sides like Chanel, It's really you on my mind, It's really you on my mind, It's really you, It's really you on my mind, V both sides of the 12, Steam both sides of the L, Freeze smoke rings and they hail, Sleet snow grind for the wealth, Whole team diamonds is real, Showed 'em how to shine by theirselves, You need a cosign for your health, I need that bitch to grind on my belt, I know you need to try for my belt, I know you seen it drivin' itself, No matte black on the ride 'cause it's stale, But it's stealth, I see both sides like Chanel, I see both sides like Chanel, My pockets snug, they can't hold my 7They banned my Visa, my Amex and Mastercards, I got new money, and it's all cash, I got new bags, and they all collabs, I rubber band a bunch of thousand-dollar Delta gift cards, (I mean my baby bi), Amazing, the cash online unknown, (I mean my baby bi), Blazin' the dash, countin' money at home, My pockets snug, they can't hold my 7They banned my Visa, my Amex and Mastercards, I got new money, and it's all cash, I got new bags, and they all collabs, I rubber band a bunch of thousand-dollar Delta gift cards, (I mean my baby bi), Amazing, the cash online unknown, (I mean my baby bi), Blazin' the dash, countin' money at home"
Frank Ocean,Ivy,r&b,"I thought that I was dreamin' when you said you love me, The start of nothin', I had no chance to prepare, I couldn't see you comin', The start of nothin', ooh, I could hate you now, It's quite alright to hate me now, When we both know that deep down, The feeling still deep down is good, If I could see through walls, I could see you're faking, If you could see my thoughts, you would see our faces, Safe in my rental like an armored truck back then, We didn't give a fuck back then, I ain't a kid no more, we'll never be those kids again, We'd drive to Syd's, had the X6 back then, back then, No matter what I did, my waves wouldn't dip back then, Everything sucked back then, we were friends, I thought that I was dreamin' when you said you love me, The start of nothin', I had no chance to prepare, I couldn't see you comin', The start of nothin', ooh, I could hate you now, It's quite alright to hate me now, But we both know that deep down, The feeling still deep down is good, In the halls of your hotel, Arm around my shoulder so I could tell, How much I meant to you, meant it sincere back then, We had time to kill back then, You ain't a kid no more, we'll never be those kids again, It's not the same, ivory's illegal, don't you remember?, I broke your heart last week, You'll probably feel better by the weekend, Still remember, had you going crazy, Screamin' my name, the feeling deep down is good, I thought that I was dreamin' when you said you love me, The start of nothin', had no chance to prepare, Couldn't see you comin', And we started from nothin', ooh, I could hate you now, It's alright to hate me now, We both know that deep down, The feeling still deep down is good, All the things I didn't mean to say, I didn't mean to do, There were things you didn't need to say, Did you mean to? Mean to, I've been dreamin' of you, dreamin' of you, I've been dreamin' of you, dreamin' of you, I've been dreamin', dreaming"
Frank Ocean,Nights,r&b,"NA, Round your city, round the clock, Everybody needs you, No, you can't make everybody equal, Although you got beaucoup family, You don't even got nobody bein' honest with you, Breathe 'til I evaporated, My whole body see through, Transportation, handmade (G), And I know it better than most people, I don't trust 'em anyways, You can't break the law with them, Get some gushy, have a calm night, Shooters killin' left and right, Workin' through your worst night, If I get my money right, You know I won't need you, And I tell you, (bitch), I hope the sack is full up, I'm fuckin', no, I'm fucked up, Spend it when I get that, I ain't tryna keep you, Can't keep up a conversation, Can't nobody reach you, Why your eyes well up?, Did you call me from a séance?, You are from my past life, Hope you're doin' well, bruh, I been out here head first, Always like the head first, Signal comin' in and out, Hope you're doin' well, bruh, Everybody needs you, everybody needs you, Oooh, nani nani, This feel like a quaalude, No sleep in my body, Ain't no bitch in my body, New beginnin's, ahh, New beginnin's, wake up akh, The sun's goin' down, Time to start your day, bruh, Can't keep bein' laid off, Know you need the money if you gon' survive, The every night shit, every day shit, Droppin' baby off at home before my night shift, You know I can't hear none of that spend the night shit, That kumbaya shit, Wanna see nirvana, but don't wanna die yet, Wanna feel that na na though, could you come by?, Fuck with me after my shift, Know them boys wanna see me broke down and shit, Bummed out and shit, stressed out and shit, That's every day shit, Shut the fuck up, I don't want your conversation, Rollin' marijuana, that's a cheap vacation, My every day shit, every night shit, my every day shit, (Every night shit, night shit, night shit, night shit), All my night, been ready for you all my night, Been waitin' on you all my night, I'll buzz you in, just let me know when you outside, All my night, you been missin' all my night, Still got some good nights memorized, And the look back's gettin' me right, NA, Every night fucks every day up, Every day patches the night up, On God, you should match it, it's that KONo white lighters 'til I fuck my 28th up1998, my family had that Acura, Oh, the Legend, Kept at least six discs in the changer, Back when Boswell and Percy had it active, Couple bishops in the city buildin' mansions, All the reverends, Preachin' self made millionaire status, When we could only eat at Shoney's on occasion, After 'trina hit I had to transfer campus, Your apartment out in Houston's where I waited, Stayin' with you when I didn't have a address, Fuckin' on you when I didn't own a mattress, Workin' on a way to make it outta Texas, every night, Droppin' baby off at home before my night shift, yeah, You know I can't hear none of that spend the night shit, That kumbaya shit, Want to see nirvana, but don't wanna die yet, Wanna feel that na na though, could you come by, Fuck with me after my shift, Know them boys wanna see me broke down, See me bummed out, stressed out, That's just everyday shit, Shut the fuck up, I don't want your conversation, Rollin' marijuana, that's a cheap vacation, My every day shit, my every day shit, My every night shit, my every day shit, My every day shit, my every day shit, My every day shit, my every night shit"
Frank Ocean,Nikes,r&b,"These bitches want Nikes, They looking for a check, Tell 'em it ain't likely, Said she need a ring like Carmelo, You must be on that white like Othello, All you want is Nikes, But the real ones just like you, just like me, I don't play, I don't make time, But if you need dick I got you, And I yam from the line, Pour up for A$AP, R.I.P. Pimp CR.I.P. Trayvon, that nigga look just like me, Woo, fuckin' buzzin', woo!, That my little cousin, he got a little trade, His girl keep the scales, a little mermaid, We out by the pool, some little mermaids, Me and them gel, Like twigs with them bangs, Now that's a real mermaid, You been holding your breath, weighted down, Punk madre, punk papa, He don't care for me, but he cares for me, And that's good enough, We don't talk much or nothin'But when we talkin' about something, We have good discussion, I met his friends last week, Feels like they're up to somethin'That's good for us, We'll let you guys prophesy, We'll let you guys prophesy, We gon' see the future first, We'll let you guys prophesy, We gon' see the future first, Living so the last night feels like a past life, Speaking of the, don't know what got into people, Devil be possessin' homies, Demons try to body jump, Why you think I'm in this bitch wearing a fucking Yarmulke?, Acid on me like the rain, Weed crumbles into glitter, Rain, glitter, We laid out on this wet floor, Away turf, no Astro, Mesmerized how the strobes glow, Look at all the people feet dance, I know that your nigga came with you, But he ain't with you, We only human and it's humid in these Balmains, I mean my balls sticking to my jeans, We breathin' pheromones, Amber RoseSippin' pink-gold lemonades, Feelin', I may be younger but I'll look after you, We're not in love but I'll make love to you, When you're not here I'll save some for you, I'm not him but I'll mean something to you, I'll mean something to you, I'll mean something to you, You got a roommate, he'll hear what we do, It's only awkward if you're fucking him too, 一人の男, たくさんかわいい女の子, 誰かのことを 誰も縛れはしない, 他人の心, まあ、飲みたいならお酒でも飲もう（ふぉ）, 彼女がいたり、彼氏がいたり, 気の合っちゃう人間２人, しょうがない, 男たちと 女たち, 去るもの追わず, 来るもの選ぶ, それだけの話, 今しかない時間, 大事にしな, 何億万人も, いい人ならいるよ, あの子がまたモデルの子に嫉妬, でも好きなら好き, 無理なら無理だし, 次から次に （次に）, 類が友を呼んでくれるいつも （類が友を呼ぶ）, たまには離れてみるのも必要 （必要…必要…）, 自由にする まるでパリスヒルトン (パリスヒルトン)"
Frank Ocean,Self Control,r&b,"Poolside convo about your summer last night, ooh yeah, About your summer last night, Ain't give you no play, mm, Could I make you shive last night?, Could I make you shy on the last night, last night?, Could we make it in? Do we have time?, I'll be the boyfriend in your wet dreams tonight, Noses on a rail, little virgin wears the white, You cut your hair but you used to live a blonded life, Wish I was there, wish we'd grown up on the same advice, And our time was right, Keep a place for me, for me, I'll sleep between y'all, it's nothing, It's nothing, it's nothing, Keep a place for me, for me, Now and then you miss it, sounds make you cry, Some nights you dance with tears in your eyes, I came to visit, 'cause you see me like a UFO, That's like never, 'cause I made you use your self-control, And you made me lose my self-control, my self-control, Keep a place for me, for me, I'll sleep between y'all, it's nothing, Keep a place for me, It's no thing, it's nothing, It's no thing, it's nothing, Sometimes you'll miss it, And the sound will make you cry, And some nights you're dancing, With tears in your eyes, I, I, I know you gotta leave, leave, leave, Take down some summer time, Give up, just tonight, night, night, I, I, I know you got someone comin', You're spittin' game, know you got it, I, I, I know you gotta leave, leave, leave, Take down some summer time, Give up, just tonight, night, night, I, I, I know you got someone comin', You're spittin' game, know you got it, (Nobody else, nobody else), I, I, I know you gotta leave, leave, leave, Take down some summer time, Give up, just tonight, night, night, I, I, I know you got someone comin', You're spittin' game, know you got it"
Frank Ocean,White Ferrari,r&b,"Bad luck to talk on these rides, Mind on the road, your dilated eyes watch the clouds float, White Ferrari, had a good time, (Sweet 16, how was I supposed to know anything?), I let you out at Central, I didn't care to state the plain, Kept my mouth closed, we're both so familiar, White Ferrari, good times, Stick by me, close by me, You were fine, you were fine here, That's just a slow body, You left when I forgot to speak, So I text the speech, lesser speeds, Texas speed, yes, Basic takes its toll on me, 'ventually, 'ventually, yes, Ahh, on me 'ventually, 'ventually, yes, I care for you still and I will forever, That was my part of the deal, honest, We got so familiar, Spending each day of the year, White Ferrari, good times, In this life (life), in this life (life), One too many years, Some tattooed eyelids on a facelift, (Thought you might want to know now), Mind over matter is magic, I do magic, If you think about it, it'll be over in no time, And that's life, I'm sure we're taller in another dimension, You say we're small and not worth the mention, You're tired of movin', your body's achin', We could vacay, there's places to go, Clearly this isn't all that there is, Can't take what's been given, But we're so okay here, we're doing fine, Primal and naked, You dream of walls that hold us in prison, It's just a skull, least that's what they call it, And we're free to roam"
Frank Sinatra,Fly Me to the Moon,pop,"Fly me to the moon, Let me play among the stars, And let me see what spring is like, On a-Jupiter and Mars, In other words, hold my hand, In other words, baby, kiss me, Fill my heart with song, And let me sing forevermore, You are all I long for, All I worship and adore, In other words, please be true, In other words, I love you, NA, Fill my heart with song, Let me sing forevermore, You are all I long for, All I worship and adore, In other words, please be true, In other words, in other words, I love you"
Future & Lil Uzi Vert,Drankin N Smokin,rap,"Saggin' out the malls, we do the most, oh, Had a ratchet in my coat, got a girl doin' coke, We drink up and we smoke, but she always do the most, It kinda turns me on the way she lickin' on my stones, My chains on antifreeze, it look like I made a clone, Wanna see you get more sassy, if it bring out better emotions, She called me her God, the way I floated in her ocean, When I poured it, I gave her a dose, said she was already hooked, If you always there for me, that's a rеally good look, I'm changin' up your salary 'cause I'm gettin' to know you, Tell mе your availability, I want all of you, If it's like that, then it's like that, got you lightin' up like lightning, I stack it up, get feisty, can't sabotage it or ice it, You gon' tell the world they flawed, thankful for when you nosy, You're a good girl but you're naughty, don't you never miss out on Pilates, I let you stunt and flex in Bugattis, they don't got me, she with a body, Me and cheap girls stay cheap, we do numbers, stay fly, If it's gettin' to you, then we fast forward, yeah, Stayin' low like a stash house, yeah, Bando to bando, traphouse, yeah, Made it with nothin', learned to swag out, yeah, Can't be defeated, I got mad sauce, yeah, Why would I front like it ain't my fault?, Drink up and we smoke, but she always do the most, It kinda turns me on the way she lickin' on my stones, My chains on antifreeze, it look like I made a clone, Wanna see you get more sassy, if it bring out better emotions, She called me her God, the way I floated in her ocean, She called me Messiah, the way I floated in her ocean, Yelled, ""Jesus Christ,"" but I wasn't causin' commotion, Hit it so right, had her soakin' in the ocean, yeah, Hit it all night, we was drinkin' and smokin' (Yeah), Drinkin' and smokin', I done went from GG to BB to LV, I done fucked with Kiki and Lili and Nini, I text her ""So proud of you"" when I got my B from CC, It is no way that you can know or see the things we see (Yeah-yeah-yeah-yeah), She said that she can tell every time that I lie through my teeth, Plus I know you had somebody else right here in my sheets, Oh, you think you know my body?, Pull up in that Coupe, don't want no shawty, I put rubies on my Rollie, now their eyes bleed, I don't own no ice cream truck, just know my ice freeze, Man, I read her text, she said, ""Girl, I creamed"", Man, I know she duckin' off with her side me, Who you know gon' hit it raw, baby, besides me?, We drink up and we smoke, but she always do the most, It kinda turn me on the way she lickin' on my stones, My chains on antifreeze, it look like I made a clone, Wanna see you get more sassy, if it bring out better emotions, She called me her God, the way I floated in her ocean, She called me Messiah, the way I floated in her ocean, Yelled, ""Jesus Christ,"" but I wasn't causin' commotion, Hit it so right, had her soakin' in the ocean, yeah, I done fucked with Kiki and Lili and Nini, Drinkin' and smokin'"
Future & Lil Uzi Vert,Real Baby Pluto,rap,"(Twysted Genius, baby) Ow, ow, Ow (Woo), ow, (Brrt) Hello? What you talkin' 'bout?, Who dis? (Zaytoven), uh, That bitch said I'm gifted, she gave me a stiffy, I'm fuckin' that ho for the low, Talkin' 'bout bitches, you know I got plenty, yes, I'm the real Baby Pluto, I just be gettin' the Benji's, they mad that I'm winnin', I'm getting 500 a show, Met her at Lenox and took her to Phipps and bought everything in the store (Let's go), She suckin' my dick and I'm fuckin' her kitten, you think that I'm kidding, this shit not a riddle, Home run, I'm not missin', the VVS hittin', my neck CD disk, my pockets, they fatter than Missy, Hold on, smokin' on gas, get your roll on, Thirty, hang out the clip, bitch, it's so long (Graah), Opp was on the hit list, that's no longer, I need a million if I do the show long (Yeah), I popped some X so I probably can prolong, I popped a Perc' so I probably could go longer, GTO faster than your little slow Charger, That's a Camaro, nigga, that's not no Charger, Bitch, I'm plugged into the wall like a phone charger, That pussy bald, I can't fuck if it's mohawk, And talk to my Billy, that nigga, he so Harlem, Runnin' the game, I almost knocked my toe off, Every time I pop out know I gotta show off, Pull out that Tec and it probably got power (Brrap), Nowadays you will not see me on no blogs, I'm rockin' Louis V right with some Goyard (Yeah), I'm pourin' lean in the motherfuckin' Styrofoam (Yeah), I drink it fast but it turn to a slower (Yeah), I'm tryna take all of these bitches clothes off (Yeah), Act like I like y'all but I don't even know ya (Uh), That bitch said I'm gifted, she gave me a stiffy, I'm fuckin' that ho for the low (Woah), Talkin' 'bout bitches, you know I got plenty (Wow), yes, I'm the real Baby Pluto (Woah), I just be gettin' the Benji's, they mad that I'm winnin', I'm getting 500 a show (A show), Met her at Lenox and took her to Phipps and bought everything in the store (Yes, sir), She suckin' my dick and I'm fuckin' her kitten, you think that I'm kidding, this shit not a riddle, Home run, I'm not missin', the VVS hittin', my neck CD disk, my pockets, they fatter than Missy, Yes, I'm the real Baby Pluto, They mad that I'm winnin', I'm getting 500 a show, Yeah, that bitch say I'm gifted and gave me a stiffy, I'm fuckin' that ho for the low (Yeah), yeah, You talkin' 'bout bitches, you know I got plenty, make a movie like De Niro, yeah, I'm gettin' so busy, I'm futuristic every city I go, yeah, Met her at Phipps and flew her to Paris, and bought everything out the store, yeah, I'm in a coupe with a cougar, shooters on shooters on shooters on shooters on shooters, I got exotics, exotics, exotics and thotties on thotties, they goin' berserk, Pounds in the trap yeah we movin' 'em, you got a bad lil' bitch and we usin' her, Trap on the low but I bought your whore, Diamonds on froze, I'm thirty below, Sippin' on mud like a addict, Your bitch fuckin' me like a king, yeah, Came in this motherfucker, ball on these bitches, big hook, call me Kareem, I got a bad bitch bettin' on green, I just got a bad, bad bitch, tell the team, Give me some top in the drop on a bean, Hit the turbo, the car do the Billie Jean, We got Coco Chanel, you know damn well these bitches comatose (Yeah), I'ma swag on bitches, I walk down shit, I damn near broke my toe (Yeah), I'm sippin' on syrup, I'm fuckin' your girl, I told her to ride it slow, I put a shop in the tall Lambo'Turn San Regis to a bando, Hit my jump shot, I'm not missin', Bitch, I'm glistenin', yeah, yeah, Bitch got that bald head, pussy with the mohawk 'cross the top, I'm 'bout to peel, Bitch got a bald head, pussy with the mohawk 'cross the top, I'm 'bout to slay her, Fuck my bitch, I fuck her friends, I don't care, play it fair (Yeah), That bitch said I'm gifted and gave me a stiffy, I'm fuckin' that ho for the low (Yeah), Talkin' 'bout bitches, you know I got plenty, yes, I'm the real Baby Pluto (Yeah), I'm gettin' so busy, I'm futuristic every city I go (Yeah), I just be gettin' the Benji's, they mad that I'm winnin', I'm getting 500 a show (Yeah), She suckin' my dick and I'm fuckin' her kitten, you think that I'm kidding, this shit not a riddle, Home run, I'm not missin', the VVS hittin', my neck CD disk, my pockets, they fatter than Missy, Yes, I'm the real Baby Pluto, They mad that I'm winnin', I'm getting 500 a show"
Future & Lil Uzi Vert,Stripes Like Burberry,rap,"DJ Escomoe City, the coolest DJ on the motherfuckin' planet (Oh), Escomoe free (Oh), I been lookin' at the sun, but can't worry, I'm my mama oldest son, can't get buried, I got stripes in these streets like Burberry, I remember I ain't make a three, now I'm Curry, I might pop a fuck nigga, yeah, like a wheely, yeah, I'm used to the murder, I'm from Philly, Money man, my money rubber bandin', shit get silly, I used to drink the color purple, my plug named Celie, Takin' out two hundred at a time, stacked to the ceiling, I got me a brand-new coupe and I took off the ceiling, These boys not, uh, on my level, live on top of the building (Yeah), In the penthouse playin' with a hundred like woah, I ain't got no feelings, In the penthouse playin' with a hundred like woah, Big old bag like woah, Get that cash like woah, Snakes in the grass, got more, Everything I say gon' go, Platinum Rollie, no gold, Fuck my girl fast and slow, You know how life goes, Man, I got the bands, I can't worry, Yeah, I can end your whole history, Looking in my eyes, you see a demon, flames like fury, Just act like everybody in the game, she said that y'all can share me, See I got the foreign cars, my niggas got foreigns and you know they is not holdin' shit, See me pullin' up, that boy got a foreign and you know that bitch got the ownership, And if I'm in the passenger seat, you know that I got a thirty clip, And look at these niggas, they actin' like gangsters, but they really just on some phony shit, See, I been in the field for a long time, Bad bitches try to fuck on me, I remember when they ain't pay me no mind, I remember when these boys tried to take me off my grind, I remember when these boys said that I would be nothin', I remember when I had no money and I needed a lil' frontin', I remember before hundred percent, my boys got the work, had to cut it, I remember I started runnin' this shit, you know I'm gonna keep runnin' it, Niggas, they mad 'cause I'm still sixteen when it comes to this, I been lookin' at the sun, but can't worry, I'm my mama oldest son, can't get buried, I got stripes in these streets like Burberry, I remember I ain't make a three, now I'm Curry, I might pop a fuck nigga like a wheely, yeah, I'm used to the murder, I'm from Philly, Money man, my money rubber bandin', shit get silly, I used to drink the color purple, my plug named Celie, I been lookin' at the sun, I can't worry, I'm my mama oldest son, can't get buried, I got stripes in these streets like Burberry, I remember I ain't make a three, now I'm Curry, I might nail a bad, bad bitch like a hammer, yeah, I'm used to the murders, I'm from Atlanta, yeah, All these bands I'm havin', bitch gettin' silly, yeah, I just popped your bitch like a wheelie, yeah, Got on baguetties like I been surfing, yes, I made it out that dirt, Friends or foes, you never know, put your face on a shirt, Knockin' it straight out the park, yeah, shopping as soon as we land, Sippin' on mud like a trap star, it's a gift, I count my blessings, In the penthouse playing with a hundred like woah, Big old bag like woah, Have a rack go attack like woah, A whole lot of bitches on go, A whole lot of bitches on go, Platinum chain on glow, How many niggas you drop this week?, They'll never let that go, Shit gettin' whacked, nigga tryna get bands, Streets gettin' bloody for these bands, Too corrupted, you can't be carin', Hit him in the public, topped him and ran, Floodin' the ice 'cause the pain it take, Need a new safe to hide all this cake, yeah, Due to the fact I hustle, I get litty, Puttin' prices on your head like Frank Nitti, yeah, Niggas get killed on camera in my city, When I got them bands, I can't worry, I been lookin' at the sun, I can't worry, I'm my mama oldest son, can't get buried, I got stripes in these streets like Burberry, I remember I ain't make a three, now I'm Curry, I might nail a bad, bad bitch like a hammer, yeah, I'm used to the murders, I'm from Atlanta, yeah, All these bands I'm havin', bitch gettin' silly, yeah, I just popped your bitch like a wheelie, yeah, As long as I got these bands, ain't no worries, Make your bitch my number one fan and rock my jersey, And the way I shoot my shot, oh yes, I'm Curry, I'm my mama oldest child, can't get buried, And a nigga got more stripes in the streets than Burberry"
Gemitaiz,Mama,rap,"NA, You should let me love you, Yeah, ti ricordi?, Ancora perdo il sangue sui pianoforti (Uh), Siamo diventati grandi, non siamo morti, Questi ci hanno riso in faccia (Ah), C'hanno chiamato ""tossici"", ""manigoldi"", Hanno legato le manette, sì, intorno ai polsi (Uoh-uoh), Volevano la nostra pelle, come con gli orsi, Gli abbiamo detto di no (No), E ancora sorridiamo fatti nelle feste (Uoh), Ancora andiamo a cena in dieci come bestie, E che meglio di così non potrebbe essere, Sono sempre pronto a portati in alto (Yeah), Vicino al sole dove fa caldo (Uoh), Con la luce arancione come un Gallardo (Uoh), Che taglia lo striscionе e brucia l'asfalto, brucia l'asfalto (Skrrt), Non mi dire che vuoi ritornarе, baby, A quando, no, non avevamo niente, no (No), Non voglio strillare dove nessuno mi sente (Senti), Magari non c'è verso, noi non abbiamo vinto, Ma non abbiamo perso (Brr), Se guardo le tue storie, mi passano le ore, Vorrei tu fossi qui, sai, mama?, Non servono parole, mi va bene pure un ""no"", Se guardo le tue storie, mi passano le ore, Vorrei tu fossi qui, sai, mama?, Non servono parole, mi va bene pure un ""no"" (Eh), Sei il tuffo giù dal precipizio, sei street poetry, I miei fidanzati con il vizio, Pete Doherty, Ho perso miti, perso sogni, perso amici, perso chili, Perso soldi, perso me stesso in errori enormi, Quelli che se fai, dopo non dormi, Ricordi quei giorni?, Stavo in Pasteur con Slait e Lebon, Più che una casa, era un cazzo di squot, Quanto ci sfottevano quando potevano, Sappi che ora sorridono perché devono, ah, Sguardo freddo e cuore d'ebano mentre banchettano (Yeah), Per questa musica che ti ama e poi ti lascia vedovo, Come Vicenza che mi manca quando sono triste, Ricordo fughe dagli sbirri alle quattro di notte (Uoh), I miei fratelli che mi tirano via dalle risse, ""Tu sarai la nostra voce, cazzo fai a botte?""E andavo in skateboard con il walkman, Io sto sveglio, il mondo dorme, Una canzone colora la notte insonne, Oggi ci sono, domani forse, Grazie degli abbracci dati con le mani sporche, Pensare che una volta eri mio complice, Ora puoi stare pieno d'odio nel tuo vortice, Sai quanto non sopporto stare immobile, Io che di a posto ho solo il mio disordine, Se guardo le tue storie, mi passano le ore, Vorrei tu fossi qui, sai, mama?, Non servono parole, mi va bene pure un ""no"", Se guardo le tue storie, mi passano le ore, Vorrei tu fossi qui, sai, mama?, Non servono parole, mi va bene pure un ""no"""
Gemitaiz,QVC9,rap,"NA, Ehi, questo è QVC Volume 9 (Uoh), One take, niente prove (Shh), Mel Gibson, Danny Glover, Bello come un culo che si muove (Muah), Ho il flow better, mo i rapper, Fanno canzoni per coppiette (Mhm), Gli sparo, fra', in bocca ho le doppiette, Li mando a rispondere al call center (Yeah), Ehi, baby, show crazy (Uh), Ti strappo i blunts, sono il king delle roll papers, Giro in 4K, il tuo sembra un homemade, E quando rappo scappa, non puoi fottere con me (No), Hi, haters (Hi), venti rime, quattro barre, Non capisci neanche in venti vite quando farle, Bro, ne faccio tante, la mia gente corre e non fa domande (Nah), Insegue i soldi, fra', col bastone da rabdomante (Uoh), Sento questi rappers, E sono tutto tranne musica per le mie orecchie (Bleah), Mi fa schifo la roba che esce (Yeah), Sto in alto, ho fatto più scale di Escher, Sono il best, tu sei un Best Western, Frate', sono un mostro a tre teste, Trendsetter nel rap sempre, Siamo Dobermann, voi tre Setter, Siete bellissimi, fate tre dissing (Ah), Poi girate con i bodyguard e i registi (Yeah), Ma se succede qualcosa, non lo registri, In questa merda siamo grossi come rugbisti (Uh), Stargazing (Yeah), Coi fratelli dentro questi bar mesi, Mischiano la birra con gli analgesi', Chiamano le tipe con i nomi francesi, Yeah, dammene un'altra che srotolo, Il pacco a metraggio e lo rollo, bro, Solo per stare più comodo, Lighto una bomba che sembra un microfono, Con la mia gente, Non ce ne frega niente (Niente), Arrivo al volume 100, Finché qualcuno se la sente (Ciao)"
Genius English Translations,BTS - Black Swan (English Translation),r&b,"Do your thang, Do your thang with me now, Do your thang, Do your thang with me now, What's my thang, What's my thang tell me now, Tell me now, Yeah, yeah, yeah, yeah, Ayy, The heart no longer races, When hearing the music play, Tryna' pull up, Seems like time has stopped, Oh that would be my first death, I been always afraid of, If this can no longer resonate, No longer make my heart vibrate, Then like this may be how, I die my first death, But what if that moment's right now, Right now, Heartbeat pulsing slow in my ears, Bump, bump, bump, Try to flee but back into the maw, Jump, jump, jump, No song affects me anymore, Crying out a silent cry, Ocean with all light silenced shut yeah, yeah, yeah, My wandering feet held in a rut yeah, yeah, yeah, Every noise and sound's been cut yeah, yeah, yeah, Killin' me now, killin' me now, Do you hear me yeah, Sinking slowly like in a trance nah, nah, nah, Struggle but it's all ocean floor nah, nah, Every moment becomes eternity yeah, yeah, yeah, Film it now, film it now, Do you hear me yeah, Do your thang, Do your thang with me now, Do your thang, Do your thang with me now, What's my thang, What's my thang tell me now, Tell me now, Yeah, yeah, yeah, yeah, Deeper, Yeah I think I'm goin' deeper, I keep losing focus, No, just let go of me, Let my own feet carry me, I'll go in myself, In the deepest depths, I saw myself, Slowly, I open my eyes, I'm in my workroom, it's my studio, The waves go darkly by in a throe, But I'll never get dragged away again, Inside, I saw myself, myself, Heartbeat racing in my ears, Bump, bump, bump, Eyes wide open into my forest, Jump, jump, jump, Nothing can devour me, I shout out with ferocity, Ocean with all light silenced shut yeah, yeah, yeah, My wandering feet held in a rut yeah, yeah, yeah, Every noise and sound's been cut yeah, yeah, yeah, Killin' me now, killin' me now, Do you hear me yeah, Sinking slowly like in a trance nah, nah, nah, Struggle but it's all ocean floor nah, nah, Every moment becomes eternity yeah, yeah, yeah, Film it now, film it now, Do you hear me yeah, Do your thang, Do your thang with me now, Do your thang, Do your thang with me now, What's my thang, What's my thang tell me now, Tell me now, Yeah, yeah, yeah, yeah"
Giveon,LIKE I WANT YOU,r&b,"Sometimes I wish you knew, But I disguise the truth, I say I'm happy but I'm still stuck on us, mm-mm-mm, Does your mind play this game too?, Think 'bout me and you, I guess I'll just pretend until it all makes sense, hm-mm-hm, hmm-hmm, See you face to face, I'm thinking 'bout the days we used to be, But I can't make a scene, but I can't make a scene, See you face to face, I'm thinking 'bout the days we used to be, But I can't make a scene, but I can't make it seem, Like I want you, You, ooh, ooh, Even if it's true, ooh, Ooh-ooh-ooh, Even if it's true, I guess it's overdue, Tell me your point of view, Tell me, am I to blame?, You're so good with change, hm-hm-mm, A table set for two, You got me waitin' but you ain't comin' through, Try to stay patient but gotta face the truth, mm-mm-mm, Oh, woah-woah, See you face to face (See you face to face), I'm thinking 'bout the days we used to be (Thinking 'bout the days), But I can't make a scene (No, I can't make a scene), but I can't make a scene (No, no, no, no, oh), See you face to face (See you face), I'm thinking 'bout the days we used to be (Oh-oh), But I can't make a scene (No, no-no, no-no), but I can't make it seem, Like I want you, You, ooh, ooh, Even if it's true, ooh (Even if it's true), Ooh-ooh-ooh (You, babe), Even if it's true, There's no reason to believe I'll save us now, But if you really love me, say it now, Why is it so hard to figure out?, I need you every day, believe me when I say it, Like I want you, You, ooh, ooh, Even if it's true, ooh, Ooh-ooh-ooh, Even if it's true"
